BANDERA,ESTADO,NOMBRE OFICIAL,ABREVIACIO,INGRESO A LA UNIO,CAPITAL,CIUDAD MAS POBLADA 2006,POBLACION (2020),DENSIDAD (Hab/km2),SUPERFICIE
,Alabama,State of Alabama,AL,14 de diciembre de 1819 (204 años),Montgomery,Birmingham,5 024 279,135 756,38.40
,Alaska,State of Alaska,AK,3 de enero de 1959 (65 años),Juneau,Anchorage,733 391,1 717 854,0.42
,Arizona,State of Arizona,AZ,14 de febrero de 1912 (112 años),Phoenix,Phoenix,7 151 502,295 254,24.22
,Arkansas,State of Arkansas,AR,15 de junio de 1836 (187 años),Little Rock,Little Rock,3 011 524,137 732,21.86
,California,State of California,CA,9 de septiembre de 1850 (173 años),Sacramento,Los Ángeles,39 538 223,423 970,93.25
,Carolina del Norte,State of North Carolina,NC,21 de noviembre de 1789 (234 años),Raleigh,Charlotte,10 439 388,139 389,74.89
,Carolina del Sur,State of South Carolina,SC,23 de mayo de 1788 (235 años),Columbia6,Columbia6,5 118 425,82 932,61.71
,Colorado,State of Colorado,CO,1 de agosto de 1876 (147 años),Denver,Denver,5 773 714,269 601,21.41
,Connecticut,State of Connecticut,CT,9 de enero de 1788 (236 años),Hartford,Bridgeport7,3 605 944,14 357,251.16
,Dakota del Norte,State of North Dakota,ND,2 de noviembre de 1889 (134 años),Bismarck,Fargo,779 094,183 112,4.25
,Dakota del Sur,State of South Dakota,SD,2 de noviembre de 1889 (134 años),Pierre,Sioux Falls,886 667,199 731,4.43
,Delaware,State of Delaware,DE,7 de diciembre de 1787 (236 años),Dover,Wilmington,989 948,6447,153.55
,Florida,State of Florida,FL,3 de marzo de 1845 (179 años),Tallahassee,Jacksonville8,21 538 187,170 304,126.45
,Georgia,State of Georgia,GA,2 de enero de 1788 (236 años),Atlanta,Atlanta,10 711 908,153 909,69.59
,Hawái,"State of Hawaii.
Moku'āina o Hawai'i",HI,21 de agosto de 1959 (64 años),Honolulu,Honolulu,1 455 271,28 311,51.40
,Idaho,State of Idaho,ID,3 de julio de 1890 (133 años),Boise,Boise,1 839 106,216 446,8.49
,Illinois,State of Illinois,IL,3 de diciembre de 1818 (205 años),Springfield,Chicago,12 812 508,149 998,85.41
,Indiana,State of Indiana,IN,11 de diciembre de 1816 (207 años),Indianápolis,Indianápolis,6 785 528,94 321,71.94
,Iowa,State of Iowa,IA,28 de diciembre de 1846 (177 años),Des Moines,Des Moines,3 190 369,145 743,21.89
,Kansas,State of Kansas,KS,29 de enero de 1861 (163 años),Topeka,Wichita,2 937 880,213 096,13.78
,Kentucky,Commonwealth of Kentucky,KY,1 de junio de 1792 (231 años),Frankfort,Louisville,4 505 836,104 659,43.05
,Luisiana,"State of Louisiana
État de Louisiane",LA,30 de abril de 1812 (211 años),Baton Rouge,Nueva Orleans11,4 657 757,134 264,34.69
,Maine,State of Maine,ME,15 de marzo de 1820 (204 años),Augusta,Portland,1 362 359,91 646,14.86
,Maryland,State of Maryland,MD,28 de abril de 1788 (236 años),Annapolis,Baltimore12,5 773 552,32 133,179.67
,Massachusetts,Commonwealth of Massachusetts,MA,6 de febrero de 1788 (236 años),Boston,Boston,6 177 224,27 336,225.97
