Pos ,Entidad,2010,2015,2020,2025,2030
1,Estado de México,15 571 679,16 870 388,18 075 065,19 178 922,20 167 433
2,Ciudad de México,8 944 599,8 854 600,8 738 914,8 600 179,8 439 786
3,Veracruz,7 712 247,8 046 828,8 328 389,8 573 860,8 781 620
4,Jalisco,7 442 625,7 931 267,8 363 277,8 751 124,9 102 259
5,Puebla,5 863 823,6 193 836,6 481 536,6 730 952,6 942 481
6,Guanajuato,5 558 502,5 817 614,6 033 559,6 214 047,6 361 401
7,Chiapas,4 933 755,5 252 808,5 568 648,5 861 450,6 129 218
8,Nuevo León,4 923 273,5 085 848,5 440 277,5 778 562,6 097 769
9,Michoacán,4 420 271,4 596 499,4 741 317,4 861 254,4 960 773
10,Oaxaca,3 868 109,4 012 295,4 127 899,4 221 023,4 293 423
11,Chihuahua,3 525 273,3 710 129,3 882 739,4 037 778,4 177 815
12,Guerrero,3 444 264,3 568 139,3 657 305,3 723 868,3 772 110
13,Tamaulipas,3 334 664,3 543 366,3 735 589,3 910 946,4 069 115
14,Baja California,3 224 844,3 484 150,3 729 225,3 957 878,4 169 240
16,Sinaloa,2 851 334,2 984 571,3 105 704,3 211 820,3 302 931
15,Coahuila,2 782 013,2 960 681,3 129 782,3 286 369,3 427 879
18,Sonora,2 727 032,2 932 821,3 125 865,3 307 365,3 476 930
17,Hidalgo,2 690 086,2 878 369,3 044 937,3 195 296,3 329 765
19,San Luis Potosí,2 616 459,2 753 478,2 868 906,2 968 898,3 055 130
20,Tabasco,2 252 641,2 383 900,2 498 558,2 599 884,2 687 426
21,Yucatán,1 980 690,2 118 762,2 252 505,2 380 828,2 503 132
22,Querétaro,1 848 191,2 004 472,2 147 765,2 280 816,2 403 016
23,Morelos,1 803 340,1 920 350,2 030 580,2 131 722,2 222 863
24,Durango,1 669 815,1 764 726,1 847 547,1 920 046,1 983 389
25,Zacatecas,1 509 019,1 576 068,1 633 878,1 683 467,1 726 347
26,Quintana Roo,1 350 945,1 574 824,1 798 603,2 018 532,2 232 702
27,Aguascalientes,1 195 787,1 287 660,1 369 306,1 442 693,1 507 807
28,Tlaxcala,1 186 143,1 278 308,1 363 576,1 443 300,1 516 712
29,Nayarit,1 108 860,1 223 797,1 333 853,1 440 524,1 544 709
30,Campeche,836 748,907 878,974 877,1 038 576,1 098 636
31,Colima,658 910,723 455,782 831,838 498,891 050
32,Baja California Sur,649 616,763 929,878 830,993 577,1 106 468
